FILM,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,RT_norm,RT_user_norm,Metacritic_norm,Metacritic_user_nom,IMDB_norm,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,Fandango_Difference
Ex Machina (2015),92,86,78,7.9,7.7,4.5,4.1,4.6,4.3,3.9,3.95,3.85,4.5,4.5,4,4,4,672,154499,3458,0.4
Still Alice (2015),88,85,72,7.8,7.5,4.5,4.1,4.4,4.25,3.6,3.9,3.75,4.5,4.5,3.5,4,4,153,57123,1258,0.4
Wild Tales (2014),96,92,77,8.8,8.2,4.5,4.1,4.8,4.6,3.85,4.4,4.1,5,4.5,4,4.5,4,107,50285,235,0.4
The End of the Tour (2015),92,89,84,7.5,7.9,4.5,4.1,4.6,4.45,4.2,3.75,3.95,4.5,4.5,4,4,4,19,1320,121,0.4
Red Army (2015),96,86,82,7.4,7.7,4.5,4.1,4.8,4.3,4.1,3.7,3.85,5,4.5,4,3.5,4,11,2275,54,0.4
When Marnie Was There (2015),89,89,71,6.4,7.8,4.5,4.1,4.45,4.45,3.55,3.2,3.9,4.5,4.5,3.5,3,4,29,4160,46,0.4
The Hunting Ground (2015),92,72,77,7.8,7.5,4.5,4.1,4.6,3.6,3.85,3.9,3.75,4.5,3.5,4,4,4,6,1196,42,0.4
The Boy Next Door (2015),10,35,30,5.5,4.6,4,3.6,0.5,1.75,1.5,2.75,2.3,0.5,2,1.5,3,2.5,75,19658,2800,0.4
Aloha (2015),19,31,40,4,5.5,3.5,3.1,0.95,1.55,2,2,2.75,1,1.5,2,2,3,67,12255,2284,0.4
The Loft (2015),11,40,24,2.4,6.3,4,3.6,0.55,2,1.2,1.2,3.15,0.5,2,1,1,3,80,21319,811,0.4
5 Flights Up (2015),52,47,55,6.8,6.1,4,3.6,2.6,2.35,2.75,3.4,3.05,2.5,2.5,3,3.5,3,6,2174,79,0.4
Welcome to Me (2015),71,47,67,6.9,5.9,4,3.6,3.55,2.35,3.35,3.45,2.95,3.5,2.5,3.5,3.5,3,33,8301,56,0.4
Saint Laurent (2015),51,45,52,6.8,6.3,3.5,3.1,2.55,2.25,2.6,3.4,3.15,2.5,2.5,2.5,3.5,3,8,2196,43,0.4
Maps to the Stars (2015),60,46,67,5.8,6.3,3.5,3.1,3,2.3,3.35,2.9,3.15,3,2.5,3.5,3,3,46,22440,35,0.4
I'll See You In My Dreams (2015),94,70,75,6.9,6.9,4,3.6,4.7,3.5,3.75,3.45,3.45,4.5,3.5,4,3.5,3.5,14,1151,281,0.4
Timbuktu (2015),99,78,91,6.9,7.2,4,3.6,4.95,3.9,4.55,3.45,3.6,5,4,4.5,3.5,3.5,37,6246,74,0.4
About Elly (2015),97,86,87,9.6,8.2,4,3.6,4.85,4.3,4.35,4.8,4.1,5,4.5,4.5,5,4,23,20659,43,0.4
The Diary of a Teenage Girl (2015),95,81,87,6.3,7,4,3.6,4.75,4.05,4.35,3.15,3.5,5,4,4.5,3,3.5,18,1107,38,0.4
Kingsman: The Secret Service (2015),75,84,58,7.9,7.8,4.5,4.2,3.75,4.2,2.9,3.95,3.9,4,4,3,4,4,1054,272204,15205,0.3
Tomorrowland (2015),50,53,60,6.4,6.6,4,3.7,2.5,2.65,3,3.2,3.3,2.5,2.5,3,3,3.5,262,42937,8077,0.3
The Divergent Series: Insurgent (2015),30,61,42,5.4,6.4,4.5,4.2,1.5,3.05,2.1,2.7,3.2,1.5,3,2,2.5,3,206,89618,7123,0.3
Annie (2014),27,61,33,4.8,5.2,4.5,4.2,1.35,3.05,1.65,2.4,2.6,1.5,3,1.5,2.5,2.5,108,19222,6835,0.3
Fantastic Four (2015),9,20,27,2.5,4,3,2.7,0.45,1,1.35,1.25,2,0.5,1,1.5,1.5,2,421,39838,6288,0.3
